Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2019-03-13,71040000,25888000,35513800,124130000,28718000
2019-03-14,58932000,27302000,30763400,94318000,23456000
2019-03-15,151018000,51886000,54681100,156171600,49236000
2019-03-18,108582000,24442000,31207600,104879200,25852000
2019-03-19,127284000,29788000,37588700,126585600,30414000
2019-03-20,125312000,41508000,28113300,124140800,44548000
2019-03-21,115356000,28150000,29854400,204136800,24080000
2019-03-22,127260000,34422000,33624500,169630800,34284000
2019-03-25,102076000,27576000,27067100,175381200,29936000
2019-03-26,97318000,30752000,26097700,199202000,38024000
2019-03-27,86496000,29428000,22733400,119393600,28004000
2019-03-28,60860000,22402000,18334800,83121600,19234000
2019-03-29,66416000,30890000,25399800,94256000,25398000
2019-04-01,84776000,27706000,22789100,111448000,25050000
2019-04-02,68962000,18288000,18142300,91062800,16558000
2019-04-03,78522000,22180000,22860700,93087200,20286000
2019-04-04,72478000,21022000,20112800,76457200,19000000
2019-04-05,72810000,20012000,15826200,74106400,18144000
2019-04-08,75056000,21750000,15116200,103526800,17204000
2019-04-09,74288000,19668000,17612000,143072800,17528000
2019-04-10,59280000,15510000,16477200,86781200,14492000
2019-04-11,53096000,16998000,14209100,83603200,14204000
2019-04-12,62288000,24312000,19745100,111042800,18668000
2019-04-15,74488000,23796000,15792600,70146400,23748000
2019-04-16,60892000,22622000,14071800,102785600,17126000
2019-04-17,57870000,30366000,19300900,115627200,24438000
2019-04-18,54998000,24750000,27991000,96783200,26636000
2019-04-22,67476000,19084000,15648700,77758000,16146000
2019-04-23,92808000,31868000,24025500,93292000,26398000
2019-04-24,73516000,23396000,31257000,70162400,20376000
2019-04-25,121982000,31344000,38033900,74172800,22146000
2019-04-26,168652000,27228000,23654900,74596400,24828000
2019-04-29,80426000,72368000,16324200,88818800,49988000
2019-04-30,70120000,133178000,24166500,186139600,124140000
2019-05-01,62340000,74340000,26821700,259309200,52784000
2019-05-02,79258000,45098000,27350200,127985200,38896000
2019-05-03,127632000,41588000,24911100,83569600,39614000
2019-05-06,108356000,31774000,24239800,129772400,31278000
2019-05-07,118042000,36604000,36017700,155054800,31028000
2019-05-08,81572000,25520000,28419000,105358000,26186000
2019-05-09,106166000,29556000,27235800,139634400,23714000
2019-05-10,114360000,31650000,30915100,164834800,26290000
2019-05-13,115668000,45626000,33944900,229722400,37212000
2019-05-14,92582000,40392000,25266300,146118800,36732000
2019-05-15,93852000,59302000,24722700,106178800,45786000
2019-05-16,94156000,35308000,30112200,132125600,30628000
2019-05-17,94732000,25362000,25770500,131516400,24172000
2019-05-20,75964000,30602000,23706900,154449200,27066000
2019-05-21,80102000,20562000,15293300,113459200,23196000
2019-05-22,58732000,18826000,15396500,118994400,18290000
2019-05-23,88486000,25214000,23603800,146118800,23978000
2019-05-24,67394000,18554000,14123400,94858800,22240000
2019-05-28,64000000,20948000,23128400,111792800,27300000
2019-05-29,85580000,36230000,22763100,113924800,30764000
2019-05-30,62938000,18088000,16829600,84873600,19038000
2019-05-31,92376000,31582000,26646800,108174400,30156000
2019-06-03,181974000,96890000,37983600,161584400,102612000
2019-06-04,113582000,60512000,29382600,123872000,56670000
2019-06-05,84796000,46988000,24926100,119093600,43368000
2019-06-06,73786000,29020000,21459000,90105200,34064000
2019-06-07,96164000,43828000,33885600,122737600,36048000
2019-06-10,107420000,28510000,26477100,104883600,29284000
2019-06-11,80854000,33508000,23913700,107731600,28734000
2019-06-12,53566000,23670000,17092500,73012800,21220000
2019-06-13,55916000,20814000,17200800,86698400,21154000
2019-06-14,57024000,24582000,17821700,75046000,22230000
2019-06-17,52686000,19770000,14517800,58676400,18832000
2019-06-18,77914000,34526000,25934500,106204000,27734000
2019-06-19,57906000,26714000,23744400,84496800,26776000
2019-06-20,64344000,24018000,33042600,86056000,25240000
2019-06-21,78672000,50774000,36727900,191202400,38952000
