Date,AMZN,NVDA,GOOGL,MSFT,FB,TSLA,AAPL,GOOG
2019-05-15,93852000,50232000,59302000,24722700,,109440000,106178800,45786000
2019-05-16,94156000,78108800,35308000,30112200,,112249500,132125600,30628000
2019-05-17,94732000,102206800,25362000,25770500,,266800500,131516400,24172000
2019-05-20,75964000,57206400,30602000,23706900,,307893000,154449200,27066000
2019-05-21,80102000,36184800,20562000,15293300,,270058500,113459200,23196000
2019-05-22,58732000,32586800,18826000,15396500,,280278000,118994400,18290000
2019-05-23,88486000,59184400,25214000,23603800,,398206500,146118800,23978000
2019-05-24,67394000,35758400,18554000,14123400,,212049000,94858800,22240000
2019-05-28,64000000,42835600,20948000,23128400,,154693500,111792800,27300000
2019-05-29,85580000,55980000,36230000,22763100,,179529000,113924800,30764000
2019-05-30,62938000,39430000,18088000,16829600,,118897500,84873600,19038000
2019-05-31,92376000,38972000,31582000,26646800,,156100500,108174400,30156000
2019-06-03,181974000,47864400,96890000,37983600,,195966000,161584400,102612000
2019-06-04,113582000,64183600,60512000,29382600,,207112500,123872000,56670000
2019-06-05,84796000,51161600,46988000,24926100,,202662000,119093600,43368000
2019-06-06,73786000,40814000,29020000,21459000,,303633000,90105200,34064000
2019-06-07,96164000,34885600,43828000,33885600,,240052500,122737600,36048000
2019-06-10,107420000,40278000,28510000,26477100,,158775000,104883600,29284000
2019-06-11,80854000,38387200,33508000,23913700,,174802500,107731600,28734000
2019-06-12,53566000,35889200,23670000,17092500,,227962500,73012800,21220000
2019-06-13,55916000,30808000,20814000,17200800,,122524500,86698400,21154000
2019-06-14,57024000,39442800,24582000,17821700,,111501000,75046000,22230000
2019-06-17,52686000,27604000,19770000,14517800,,184752000,58676400,18832000
2019-06-18,77914000,58192000,34526000,25934500,,190737000,106204000,27734000
2019-06-19,57906000,33164400,26714000,23744400,,98626500,84496800,26776000
2019-06-20,64344000,35016800,24018000,33042600,,177952500,86056000,25240000
2019-06-21,78672000,43442800,50774000,36727900,,123031500,191202400,38952000
2019-06-24,45660000,28294800,24236000,20628800,,86262000,72881600,27912000
2019-06-25,60246000,31186800,31644000,33327400,,92731500,84281200,30938000
